,cust_no,Recency,Frequency,Monetary
0,0xb2d30bf6,149,3.0,19455.15
1,0xb2d0c143,342,21.0,71682.52666666666
3,0xb2d5a839,313,4.0,107453.08
5,0xb2d6d3ac,127,4.0,167044.04
6,0xb2d58f97,286,55.0,2005.83
7,0xb2d1d86a,93,3.0,1508313.346666667
11,0xb2d28adb,253,28.0,610833.48
14,0xb2d270aa,580,3.0,1013709.5883333334
15,0xb2d12bf6,221,3.0,35070.153999999995
16,0xb2d1b4fd,99,6.0,82797.88500000001
17,0xb2d0b552,430,8.0,376564.5677777778
18,0xb2d282b6,465,3.0,396303.3900000001
20,0xb2d3c9e9,273,13.0,262522.54
21,0xb2d0eeb2,430,11.0,328977.75777777773
22,0xb2d6269c,275,8.0,125020.27666666666
23,0xb2d58b2f,279,3.0,25000.88
24,0xb2d325a3,532,3.0,262398.4716666667
25,0xb2d26fc0,183,11.0,17785.966666666664
26,0xb2d5d3bf,317,6.0,250371.18166666667
27,0xb2d5d49a,196,5.0,44059.58714285714
28,0xb2d12eae,473,11.0,39500.6525
29,0xb2d5efa6,154,4.0,55062.55333333334
30,0xb2d41e64,277,7.0,22708.846666666665
31,0xb2d8cccf,554,2.0,22500.3175
32,0xb2d218d8,503,2.0,51.68000000000001
34,0xb2d0bb13,594,10.0,166160.58
35,0xb2d24a13,604,17.0,1034.29
36,0xb2d319d9,391,19.0,2401.7900000000004
37,0xb2d3bbd3,303,10.0,4158.2300000000005
38,0xb2d3847a,183,3.0,1084844.6783333337
39,0xb2d621a7,241,1.0,30433.976
44,0xb2d67e89,196,5.0,40108.208333333336
45,0xb2d28202,292,5.0,62762.96399999999
47,0xb2d37d06,235,8.0,7535.396666666666
48,0xb2d41f87,412,237.0,10326.233333333334
49,0xb2d19dc3,92,2.0,215036.66333333333
50,0xb2d24c7a,227,9.0,20870.088333333337
52,0xb2d3ecd8,108,2.0,93491.35166666668
54,0xb2d07739,440,24.0,66582.90555555554
55,0xb2d2d6dd,429,5.0,951029.05
56,0xb2d5e595,183,7.0,143674.4733333333
57,0xb2d63575,253,3.0,306585.5155555555
58,0xb2d59567,185,21.0,248879.94166666668
59,0xb2d534b3,419,40.0,34609.69555555555
60,0xb2d367fd,202,4.0,319551.41285714286
62,0xb2d355be,370,19.0,2990404.88
64,0xb2d3f2ae,211,110.0,5187.566666666667
67,0xb2d43fca,417,64.0,246606.14888888889
70,0xb2d1923e,369,15.0,323816.8755555556
72,0xb2d40e62,564,43.0,141343.0985714286
73,0xb2d5f5e2,243,3.0,402727.4616666666
75,0xb2d4d3ff,305,7.0,966685.7083333334
79,0xb2d586f4,276,3.0,4886.843333333333
80,0xb2d8039f,93,72.0,313.0133333333334
85,0xb2d5ab8d,133,14.0,325637.705
87,0xb2d1e8a8,228,11.0,100314.695
88,0xb2d40f0a,246,12.0,214402.41666666663
89,0xb2d07df6,152,71.0,8484.416666666666
92,0xb2d0f329,295,11.0,258837.2244444445
93,0xb2d30e66,547,8.0,193609.66333333333
94,0xb2d7546d,97,5.0,112143.552
95,0xb2d68ba6,208,3.0,20442.268
98,0xb2d6aa8d,128,3.0,2531074.3266666667
99,0xb2d175a9,251,4.0,44117.6025
102,0xb2d302f3,470,3.0,101227.49444444444
105,0xb2d3a094,197,9.0,9348.703333333331
107,0xb2d27d61,257,9.0,286662.96400000004
111,0xb2d17831,502,9.0,48001.338
114,0xb2d3f0aa,190,13.0,3320.2233333333334
116,0xb2d11aaa,573,17.0,6026.013333333333
117,0xb2d0f338,326,20.0,9197.0075
119,0xb2d6120b,179,9.0,12595.143333333332
122,0xb2d37c01,561,20.0,134034.09625
123,0xb2d1baf1,366,14.0,327861.74333333335
130,0xb2d5cb58,202,4.0,32049.04
132,0xb2d31f7f,532,60.0,149230.84999999998
133,0xb2d23e5b,203,9.0,982987.7816666669
137,0xb2d43cf1,148,5.0,90793.71333333332
138,0xb2d1bb93,461,3.0,1376355.7866666669
141,0xb2d377ed,582,8.0,540792.206
143,0xb2d58e65,218,13.0,364960.392
146,0xb2d3d6b2,432,153.0,188304.6433333333
149,0xb2d42848,275,2.0,38287.71571428572
150,0xb2d33c32,475,11.0,123335.35888888888
151,0xb2d26f66,186,4.0,1395038.3280000002
152,0xb2d52fe2,194,3.0,2934832.846
153,0xb2d610c7,113,6.0,116957.34285714284
154,0xb2d43cd6,195,115.0,3014.5533333333333
156,0xb2d1cf34,344,4.0,601565.3333333334
158,0xb2d41222,274,11.0,1900733.7533333327
160,0xb2d1552d,276,20.0,822428.67
163,0xb2d5ea63,240,26.0,2519041.692
164,0xb2d5974a,183,506.0,943129.18
166,0xb2d2127e,592,176.0,33328.458999999995
167,0xb2d1a855,283,165.0,5357.71
168,0xb2d18be4,135,3.0,850241.1833333332
170,0xb2d584b7,125,8.0,130539.95
171,0xb2d681ad,186,2.0,12165.06
176,0xb2d6c46d,133,24.0,20213.143333333333
177,0xb2d097eb,104,3.0,116718.55
178,0xb2d574df,130,10.0,686.1833333333334
180,0xb2d22034,405,21.0,24753.65333333333
181,0xb2d6456e,243,2.0,170999.28666666668
182,0xb2d1045d,250,3.0,123410.966
183,0xb2d31460,521,7.0,107.80333333333331
184,0xb2d33380,104,5.0,2093343.565
187,0xb2d1d915,185,6.0,2762269.4566666665
188,0xb2d3a1ed,286,3.0,544525.5183333333
189,0xb2d0b39c,602,118.0,135774.155
192,0xb2d2bff4,501,4.0,177997.7975
194,0xb2d168ce,130,6.0,210278.48333333337
196,0xb2d3a40f,549,12.0,2209481.348333333
197,0xb2d1d45f,385,6.0,133661.51499999998
201,0xb2d312a1,335,82.0,1386.5633333333333
203,0xb2d14825,313,12.0,435589.5788888889
205,0xb2d70871,111,9.0,2317.366666666667
206,0xb2d10e7a,309,1.0,69.58
208,0xb2d62135,158,3.0,228641.40142857144
209,0xb2d63917,139,85.0,50967.79666666666
212,0xb2d14396,235,4.0,12000.3
213,0xb2d33dee,552,4.0,150368.49833333332
216,0xb2d16bf8,362,1.0,3025.92
217,0xb2d7c0b2,94,12.0,2257801.1325
219,0x3b9af2b6,230,103.0,119636.86833333332
223,0xb2d1dd17,94,103.0,8591.053333333335
224,0xb2d299d5,520,12.0,362281.3416666666
227,0xb2d43f88,377,11.0,72903.9011111111
229,0xb2d630a7,134,7.0,173514.73
232,0xb2d5e7bd,134,4.0,25017.71333333333
233,0xb2d772c4,629,3.0,202120.485
235,0xb2d19ead,223,18.0,97522.67333333332
236,0x3b9b0e79,183,91.0,12274.7625
237,0xb2d2451e,363,10.0,56154.11000000001
241,0xb2d064b2,129,99.0,179488.28500000003
242,0xb2d67d7b,200,2.0,160306.62888888887
243,0xb2d10643,103,18.0,227737.105
246,0xb2d836e4,101,79.0,71443.13
247,0x3b9b3099,527,4.0,96524.2081818182
250,0xb2d78341,95,4.0,2333.793333333333
251,0xb2d54dee,366,110.0,50878.176666666666
256,0xb2d19508,407,41.0,21718.183333333334
257,0x3b9add59,185,38.0,478556.0877777778
258,0xb2d5b61f,329,2.0,116637.2575
259,0xb2d63941,239,53.0,1795.6566666666663
260,0xb2d12bf3,445,3.0,586896.8233333334
261,0xb2d3b6ed,258,1.0,342226.22555555555
262,0xb2d1cd57,427,129.0,237120.64166666663
266,0xb2d503ae,214,23.0,241681.6233333333
269,0xb2d193f7,531,3.0,643605.7633333333
271,0xb2d20087,157,2.0,275163.28
273,0xb2d78e48,101,2.0,12507.0175
275,0xb2d33431,157,7.0,84770.22857142857
276,0xb2d597ce,98,28.0,71793.70833333333
277,0xb2d11f15,617,15.0,91460.53500000002
279,0xb2d09d85,377,13.0,40003.695
280,0x3b9b3c42,231,2.0,20007.532
282,0xb2d3e28b,594,7.0,2054.6766666666667
284,0xb2d166b2,266,22.0,35646.305714285714
287,0xb2d22f0d,193,10.0,1220136.676
288,0xb2d3422f,323,6.0,103538.09833333331
291,0xb2d37e41,156,5.0,500718.6733333334
293,0xb2d3e7c2,575,29.0,241672.44066666663
294,0xb2d62fc9,273,2.0,20350.486
296,0xb2d06806,289,28.0,17345.289999999997
297,0xb2d454ac,134,12.0,126674.52666666669
298,0xb2d43e98,383,13.0,286142.7141666667
300,0xb2d4384a,284,1.0,7937.243333333333
302,0xb2d6c6e9,100,3.0,17639.466666666667
304,0xb2d5b289,255,6.0,64541.81833333333
306,0xb2d50990,171,2.0,15319.595
308,0xb2d40fd3,94,28.0,49768.62
309,0xb2d6610a,147,3.0,105230.39500000002
310,0xb2d5581a,191,50.0,61.833333333333336
311,0xb2d408cb,175,9.0,30239.600909090903
312,0xb2d306d1,186,5.0,3222117.515
313,0xb2d1c0a3,442,2.0,86017.18
314,0xb2d39695,214,50.0,1795.0833333333333
315,0xb2d5f096,138,8.0,110774.77833333334
316,0xb2d0b42c,199,9.0,353142.355
319,0xb2d61b71,111,146.0,17140.40909090909
321,0xb2d69a0a,121,2.0,45021.57166666666
322,0xb2d2ff6c,364,8.0,1951111.055
324,0xb2d3831b,567,3.0,10095.176666666668
325,0xb2d6d028,145,37.0,42951.36
331,0xb2d59a1d,182,28.0,2909.81
336,0xb2d58a9f,102,9.0,75034.83
337,0xb2d47ea3,452,5.0,51779.526666666665
339,0xb2d2fb79,185,3.0,63651.6675
340,0xb2d3b6c0,576,21.0,174067.8542857143
341,0xb2d1bf08,266,15.0,46847.45285714285
342,0xb2d26915,285,2.0,2544.3233333333333
343,0xb2d247eb,503,22.0,110.04666666666668
344,0xb2d4348a,123,3.0,621640.3066666666
345,0xb2d6bd0e,124,279.0,2169.813333333333
348,0xb2d5ee2f,205,4.0,150008.75333333333
350,0xb2d50a92,250,6.0,4490300.43
352,0xb2d4e143,230,1.0,100053.67833333334
354,0xb2d249bc,387,52.0,32485.065
355,0xb2d0f30b,233,34.0,157109.52
359,0xb2d270dd,403,57.0,41905.0775
360,0xb2d4ac8a,486,6.0,95255.82
363,0xb2d53c51,218,14.0,28652.235
366,0xb2d698de,155,1.0,100410.62333333334
367,0xb2d54abe,183,63.0,31311.713333333333
368,0xb2d0be43,287,9.0,162561.02
369,0xb2d3b45c,366,1.0,239282.22666666663
371,0xb2d17b4c,280,2.0,68026.808
375,0xb2d4f9a0,195,270.0,82433.49444444444
377,0xb2d25064,525,6.0,10002.918333333331
382,0xb2d792c5,105,18.0,25135.78833333333
383,0xb2d2531f,184,3.0,1449387.88
384,0xb2d17ce4,276,80.0,21208.81333333333
386,0xb2d069e9,411,95.0,402125.9033333333
387,0xb2d252ad,232,2.0,60001.948
388,0xb2d4f685,110,4.0,714227.69
390,0xb2d229b5,463,4.0,725279.91
391,0xb2d20df5,379,50.0,1649.71
393,0xb2d5893a,225,7.0,35464.8
394,0xb2d28e62,406,4.0,705030.4216666667
398,0xb2d0d5fe,439,215.0,53618.168333333335
400,0xb2d606d4,243,5.0,163345.02444444445
401,0xb2d70148,129,2.0,88571.68857142856
402,0xb2d591c2,290,1.0,1.6766666666666667
403,0xb2d0d30d,93,10.0,213412.71
405,0xb2d25c49,124,46.0,217169.79666666663
406,0xb2d59516,357,8.0,200754.12833333333
407,0xb2d0fd9a,257,3.0,30131.598000000005
410,0x3b9b4269,399,106.0,48608.90875
412,0xb2d5d113,128,4.0,13056.323333333334
413,0x3b9ada89,107,11.0,114128.91
418,0xb2d5d3e9,221,2.0,18166.26
419,0xb2d53045,95,41.0,20283.672
420,0xb2d87cc5,91,2.0,250592.09
421,0xb2d2e295,126,3.0,2046135.64
422,0xb2d5e6a9,165,38.0,3005.2166666666667
423,0xb2d15fb3,620,57.0,28979.29
424,0xb2d1abdf,160,6.0,542110.525
425,0xb2d6e03f,107,4.0,50006.04666666667
426,0xb2d536de,155,3.0,3140424.41
427,0x3b9af2c8,205,104.0,367103.0433333333
429,0xb2d5e361,129,2.0,126822.76888888888
430,0xb2d645f2,92,3.0,134348.97
435,0xb2d44d5c,279,3.0,405122.6716666667
441,0xb2d6d2a4,105,3.0,89412.88
442,0xb2d5af35,195,10.0,46161.206666666665
445,0xb2d88f5b,95,8.0,3000327.22
446,0xb2d54ce3,104,1.0,252639.385
447,0x3b9b2715,357,1.0,303777.3955555556
448,0xb2d340fd,98,13.0,662711.2016666668
449,0xb2d490ac,172,4.0,19.66
