cust_no,ltv
0xb2d30bf6,22237.110696533404
0xb2d0c143,214562.7701759399
0xb2d5a839,77995.24158461351
0xb2d6d3ac,256905.29486316067
0xb2d58f97,18462.132974418593
0xb2d1d86a,2924282.3714804235
0xb2d28adb,3321290.721789006
0xb2d270aa,330820.40065674204
0xb2d12bf6,24325.16163781744
0xb2d1b4fd,258664.41612905936
0xb2d0b552,369349.7344779073
0xb2d282b6,161599.04579565654
0xb2d3c9e9,599835.2664682753
0xb2d0eeb2,441264.72284323076
0xb2d6269c,195329.49656681143
0xb2d58b2f,13728.259683540715
0xb2d325a3,89157.44164272527
0xb2d26fc0,54048.514682395966
0xb2d5d3bf,252243.8119831896
0xb2d5d49a,62231.24364903532
0xb2d12eae,47324.79721061809
0xb2d5efa6,70869.3190998522
0xb2d41e64,30561.320933960043
0xb2d8cccf,5379.323356218109
0xb2d218d8,13.882650460065566
0xb2d0bb13,148340.5394041784
0xb2d24a13,1483.474175743685
0xb2d319d9,5848.130970699054
0xb2d3bbd3,6799.748110753695
0xb2d3847a,970530.7989206647
0xb2d621a7,15100.734063392734
0xb2d67e89,57484.53669978066
0xb2d28202,60563.0602384327
0xb2d37d06,11768.884662239368
0xb2d41f87,288089.07876546576
0xb2d19dc3,186113.93154088443
0xb2d24c7a,38124.37790448112
0xb2d3ecd8,127009.17050267081
0xb2d07739,181868.2217842641
0xb2d2d6dd,589050.242441968
0xb2d5e595,291036.1461658867
0xb2d63575,221272.9749411522
0xb2d59567,1403716.934254027
0xb2d534b3,162897.48929106587
0xb2d367fd,345845.3840381068
0xb2d355be,7623992.272151169
0xb2d3f2ae,130246.406949403
0xb2d43fca,1841596.0291681592
0xb2d1923e,674124.9356190695
0xb2d40e62,505651.672917128
0xb2d5f5e2,309900.0801114288
0xb2d4d3ff,1178587.9225523598
0xb2d586f4,2841.9724697773754
0xb2d8039f,9539.599113518267
0xb2d5ab8d,1661739.0433875285
0xb2d1e8a8,198109.68827773345
0xb2d40f0a,480515.72743349604
0xb2d07df6,188807.1417794741
0xb2d0f329,498423.07198172994
0xb2d30e66,152609.18896955132
0xb2d7546d,258032.67368009113
0xb2d68ba6,18892.55192024546
0xb2d6aa8d,3524764.325825241
0xb2d175a9,31908.079974225937
0xb2d302f3,41621.75346739943
0xb2d3a094,20558.813851679122
0xb2d27d61,525807.155018938
0xb2d17831,45129.95522089454
0xb2d3f0aa,11477.736958108791
0xb2d11aaa,9010.766279290263
0xb2d0f338,26795.741681530642
0xb2d6120b,30916.652156086828
0xb2d37c01,228832.5886820863
0xb2d1baf1,599580.2307580059
0xb2d5cb58,37875.784067714005
0xb2d31f7f,827648.5604884041
0xb2d23e5b,2181590.6328530596
0xb2d43cf1,119390.29429495666
0xb2d1bb93,575482.5330396759
0xb2d377ed,387180.55996548524
0xb2d58e65,993803.0777031387
0xb2d3d6b2,3242977.5371194296
0xb2d42848,20696.41542031839
0xb2d33c32,131753.86619168913
0xb2d26f66,1759074.988954547
0xb2d52fe2,2916706.3178952816
0xb2d610c7,267121.9844524244
0xb2d43cd6,85428.10832271844
0xb2d1cf34,392391.32758546254
0xb2d41222,3850590.0321640335
0xb2d1552d,2880479.4122875924
0xb2d5ea63,13101789.78877677
